S3_Temp,S5_CO2,Room_Occupancy_Count
24.56,390,1
24.56,390,1
24.5,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.56,390,1
24.63,390,1
24.63,390,1
24.63,390,1
24.63,390,1
24.63,395,1
24.63,395,1
24.63,395,1
24.63,395,1
24.63,390,1
24.63,395,1
24.63,395,1
24.63,400,1
24.63,400,1
24.69,400,1
24.69,405,1
24.69,410,1
24.69,410,1
24.69,405,1
24.69,405,1
24.69,400,1
24.69,410,1
24.69,410,1
24.69,405,1
24.69,410,1
24.69,410,1
24.69,415,1
24.69,420,1
24.69,425,1
24.75,425,1
24.69,420,1
24.75,420,1
24.69,420,1
24.69,420,1
24.75,425,1
24.75,430,1
24.75,430,1
24.75,435,1
24.75,425,1
24.75,425,1
24.75,420,1
24.75,420,1
24.75,420,1
24.75,430,1
24.75,435,1
24.81,430,1
24.75,445,1
24.75,440,1
24.81,440,1
24.81,435,1
24.81,430,1
24.81,435,1
24.81,440,1
24.81,445,1
24.81,445,1
24.81,445,1
24.81,445,1
24.81,440,1
24.81,440,1
24.81,445,1
24.81,445,1
24.81,450,1
24.88,450,1
24.81,450,1
24.81,450,1
24.81,450,1
24.88,450,1
24.81,445,1
24.81,445,1
24.88,450,1
24.81,450,1
24.88,455,1
24.81,455,1
24.88,450,1
24.88,450,1
24.88,445,1
24.88,450,1
24.88,450,1
24.88,450,1
24.88,460,1
24.88,460,1
24.88,475,1
24.88,480,1
24.88,480,1
24.94,485,1
24.94,490,1
24.94,500,1
24.88,500,1
24.88,500,1
24.94,500,1
24.94,510,1
24.94,510,1
24.94,515,1
24.94,515,1
24.94,515,1
24.94,520,1
24.94,525,1
24.94,530,1
24.94,540,1
24.94,540,1
24.94,545,1
24.94,545,1
25.0,545,1
25.0,550,1
24.94,550,1
25.0,550,1
25.0,555,1
25.0,555,1
25.0,555,1
25.0,555,1
25.0,560,1
